,Date,Close
4062,2015-12-23,108.61
4061,2015-12-22,107.23
4060,2015-12-21,107.33
4059,2015-12-18,106.03
4058,2015-12-17,108.98
4057,2015-12-16,111.34
4056,2015-12-15,110.49
4055,2015-12-14,112.48
4054,2015-12-11,113.18
4053,2015-12-10,116.17
4052,2015-12-09,115.62
4051,2015-12-08,118.23
4050,2015-12-07,118.28
4049,2015-12-04,119.03
4048,2015-12-03,115.2
4047,2015-12-02,116.28
4046,2015-12-01,117.34
4045,2015-11-30,118.3
4044,2015-11-27,117.81
4043,2015-11-25,118.03
4042,2015-11-24,118.88
4041,2015-11-23,117.75
4040,2015-11-20,119.3
4039,2015-11-19,118.78
4038,2015-11-18,117.29
4037,2015-11-17,113.69
4036,2015-11-16,114.175
4035,2015-11-13,112.34
4034,2015-11-12,115.72
4033,2015-11-11,116.11
4032,2015-11-10,116.77
4031,2015-11-09,120.57
4030,2015-11-06,121.06
4029,2015-11-05,120.92
4028,2015-11-04,122.0
4027,2015-11-03,122.57
4026,2015-11-02,121.18
4025,2015-10-30,119.5
4024,2015-10-29,120.53
4023,2015-10-28,119.27
4022,2015-10-27,114.55
4021,2015-10-26,115.28
4020,2015-10-23,119.08
4019,2015-10-22,115.5
4018,2015-10-21,113.76
4017,2015-10-20,113.77
4016,2015-10-19,111.73
4015,2015-10-16,111.04
4014,2015-10-15,111.86
4013,2015-10-14,110.21
4012,2015-10-13,111.79
4011,2015-10-12,111.6
4010,2015-10-09,112.12
4009,2015-10-08,109.5
4008,2015-10-07,110.78
4007,2015-10-06,111.31
4006,2015-10-05,110.78
4005,2015-10-02,110.38
4004,2015-10-01,109.58
4003,2015-09-30,109.95
4002,2015-09-29,109.06
4001,2015-09-28,112.44
4000,2015-09-25,114.71
3999,2015-09-24,115.0
3998,2015-09-23,114.32
3997,2015-09-22,113.4
3996,2015-09-21,115.21
3995,2015-09-18,113.45
3994,2015-09-17,113.92
3993,2015-09-16,116.41
3992,2015-09-15,116.28
3991,2015-09-14,115.31
3990,2015-09-11,114.21
3989,2015-09-10,112.57
3988,2015-09-09,110.15
3987,2015-09-08,112.31
3986,2015-09-04,109.27
3985,2015-09-03,110.37
3984,2015-09-02,112.34
3983,2015-09-01,107.72
3982,2015-08-31,112.76
3981,2015-08-28,113.29
3980,2015-08-27,112.92
3979,2015-08-26,109.69
3978,2015-08-25,103.74
3977,2015-08-24,103.12
3976,2015-08-21,105.76
3975,2015-08-20,112.65
3974,2015-08-19,115.01
3973,2015-08-18,116.5
3972,2015-08-17,117.16
