,Date,Close
4814,2018-12-19,138.51
4813,2018-12-18,146.94
4812,2018-12-17,143.58
4811,2018-12-14,146.45
4810,2018-12-13,148.89
4809,2018-12-12,148.9
4808,2018-12-11,148.19
4807,2018-12-10,151.86
4806,2018-12-07,147.61
4805,2018-12-06,158.29
4804,2018-12-04,157.11
4803,2018-12-03,170.04
4802,2018-11-30,163.43
4801,2018-11-29,157.36
4800,2018-11-28,160.07
4799,2018-11-27,153.73
4798,2018-11-26,153.05
4797,2018-11-23,145.0
4796,2018-11-21,144.71
4795,2018-11-20,149.08
4794,2018-11-19,144.7
4793,2018-11-16,164.43
4792,2018-11-15,202.39
4791,2018-11-14,197.19
4790,2018-11-13,199.31
4789,2018-11-12,189.54
4788,2018-11-09,205.67
4787,2018-11-08,205.99
4786,2018-11-07,213.79
4785,2018-11-06,211.06
4784,2018-11-05,211.77
4783,2018-11-02,214.92
4782,2018-11-01,218.11
4781,2018-10-31,210.83
4780,2018-10-30,203.0
4779,2018-10-29,185.62
4778,2018-10-26,198.29
4777,2018-10-25,207.84
4776,2018-10-24,199.41
4775,2018-10-23,221.06
4774,2018-10-22,231.22
4773,2018-10-19,229.17
4772,2018-10-18,239.53
4771,2018-10-17,243.06
4770,2018-10-16,245.83
4769,2018-10-15,235.38
4768,2018-10-12,246.54
4767,2018-10-11,235.13
4766,2018-10-10,245.69
4765,2018-10-09,265.54
4764,2018-10-08,265.77
4763,2018-10-05,269.86
4762,2018-10-04,279.29
4761,2018-10-03,286.73
4760,2018-10-02,286.48
4759,2018-10-01,289.36
4758,2018-09-28,281.02
4757,2018-09-27,267.4
4756,2018-09-26,266.92
4755,2018-09-25,268.41
4754,2018-09-24,265.7
4753,2018-09-21,263.45
4752,2018-09-20,266.28
4751,2018-09-19,271.98
4750,2018-09-18,271.02
4749,2018-09-17,273.93
4748,2018-09-14,276.43
4747,2018-09-13,271.34
4746,2018-09-12,268.2
4745,2018-09-11,272.8
4744,2018-09-10,274.73
4743,2018-09-07,271.86
4742,2018-09-06,272.72
4741,2018-09-05,278.42
4740,2018-09-04,283.7
4739,2018-08-31,280.68
4738,2018-08-30,277.81
4737,2018-08-29,278.49
4736,2018-08-28,274.38
4735,2018-08-27,275.9
4734,2018-08-24,272.22
4733,2018-08-23,266.84
4732,2018-08-22,262.82
4731,2018-08-21,253.32
4730,2018-08-20,247.84
4729,2018-08-17,244.82
4728,2018-08-16,257.44
4727,2018-08-15,259.08
4726,2018-08-14,261.43
4725,2018-08-13,256.12
4724,2018-08-10,254.79
4723,2018-08-09,256.46
4722,2018-08-08,258.42
4721,2018-08-07,256.95
4720,2018-08-06,254.03
4719,2018-08-03,252.1
4718,2018-08-02,250.62
4717,2018-08-01,246.47
4716,2018-07-31,244.86
4715,2018-07-30,244.13
4714,2018-07-27,252.02
4713,2018-07-26,254.84
4712,2018-07-25,251.87
4711,2018-07-24,248.71
4710,2018-07-23,249.41
4709,2018-07-20,250.89
4708,2018-07-19,252.03
4707,2018-07-18,251.7
4706,2018-07-17,253.69
4705,2018-07-16,248.2
4704,2018-07-13,249.32
4703,2018-07-12,251.23
4702,2018-07-11,247.53
4701,2018-07-10,253.25
4700,2018-07-09,249.25
4699,2018-07-06,247.33
4698,2018-07-05,242.73
4697,2018-07-03,236.84
4696,2018-07-02,242.24
4695,2018-06-29,236.9
4694,2018-06-28,240.86
4693,2018-06-27,235.72
4692,2018-06-26,241.99
4691,2018-06-25,239.12
4690,2018-06-22,250.95
4689,2018-06-21,257.11
4688,2018-06-20,262.31
4687,2018-06-19,260.17
4686,2018-06-18,265.09
4685,2018-06-15,265.26
4684,2018-06-14,266.91
4683,2018-06-13,262.4
4682,2018-06-12,262.58
4681,2018-06-11,260.62
4680,2018-06-08,262.28
4679,2018-06-07,262.9
4678,2018-06-06,265.15
4677,2018-06-05,265.07
4676,2018-06-04,264.85
4675,2018-06-01,257.62
4674,2018-05-31,252.19
4673,2018-05-30,252.99
4672,2018-05-29,248.59
4671,2018-05-25,249.28
4670,2018-05-24,247.69
4669,2018-05-23,247.54
4668,2018-05-22,242.7
4667,2018-05-21,244.24
4666,2018-05-18,245.94
4665,2018-05-17,247.71
4664,2018-05-16,246.01
4663,2018-05-15,245.56
4662,2018-05-14,255.36
4661,2018-05-11,254.53
4660,2018-05-10,260.13
4659,2018-05-09,255.78
4658,2018-05-08,250.4
4657,2018-05-07,248.68
4656,2018-05-04,239.06
4655,2018-05-03,232.99
4654,2018-05-02,226.31
4653,2018-05-01,227.14
4652,2018-04-30,224.9
4651,2018-04-27,226.33
4650,2018-04-26,225.22
4649,2018-04-25,216.66
4648,2018-04-24,221.2
4647,2018-04-23,223.88
4646,2018-04-20,228.71
4645,2018-04-19,229.04
4644,2018-04-18,236.37
4643,2018-04-17,237.54
4642,2018-04-16,231.49
4641,2018-04-13,231.5
4640,2018-04-12,234.6
4639,2018-04-11,226.24
4638,2018-04-10,227.91
4637,2018-04-09,215.41
4636,2018-04-06,214.25
4635,2018-04-05,221.38
4634,2018-04-04,226.24
4633,2018-04-03,225.35
4632,2018-04-02,221.05
4631,2018-03-29,231.59
4630,2018-03-28,221.35
4629,2018-03-27,225.52
4628,2018-03-26,244.48
4627,2018-03-23,232.97
4626,2018-03-22,241.85
4625,2018-03-21,248.56
4624,2018-03-20,249.58
4623,2018-03-19,241.0
4622,2018-03-16,250.48
4621,2018-03-15,249.34
4620,2018-03-14,248.74
4619,2018-03-13,247.71
4618,2018-03-12,249.76
4617,2018-03-09,245.33
4616,2018-03-08,241.18
4615,2018-03-07,241.84
4614,2018-03-06,242.16
4613,2018-03-05,235.65
4612,2018-03-02,236.54
4611,2018-03-01,232.21
4610,2018-02-28,242.0
4609,2018-02-27,246.06
4608,2018-02-26,246.58
4607,2018-02-23,245.93
4606,2018-02-22,242.15
4605,2018-02-21,241.51
4604,2018-02-20,249.08
4603,2018-02-16,243.84
4602,2018-02-15,246.5
4601,2018-02-14,241.42
4600,2018-02-13,232.63
4599,2018-02-12,228.03
4598,2018-02-09,232.08
4597,2018-02-08,217.52
4596,2018-02-07,228.8
4595,2018-02-06,225.58
4594,2018-02-05,213.7
4593,2018-02-02,233.52
4592,2018-02-01,240.5
4591,2018-01-31,245.8
4590,2018-01-30,242.72
4589,2018-01-29,246.85
4588,2018-01-26,243.33
4587,2018-01-25,236.35
4586,2018-01-24,235.8
4585,2018-01-23,238.91
4584,2018-01-22,233.69
4583,2018-01-19,230.11
4582,2018-01-18,224.44
4581,2018-01-17,224.72
4580,2018-01-16,220.11
4579,2018-01-12,222.98
4578,2018-01-11,224.08
4577,2018-01-10,223.68
4576,2018-01-09,221.94
4575,2018-01-08,222.0
4574,2018-01-05,215.4
4573,2018-01-04,213.59
4572,2018-01-03,212.47
4571,2018-01-02,199.35
4570,2017-12-29,193.5
4569,2017-12-28,197.4
4568,2017-12-27,197.17
4567,2017-12-26,197.44
4566,2017-12-22,195.27
4565,2017-12-21,195.89
4564,2017-12-20,196.8
4563,2017-12-19,196.11
4562,2017-12-18,197.9
4561,2017-12-15,191.56
4560,2017-12-14,186.47
4559,2017-12-13,186.18
4558,2017-12-12,190.84
4557,2017-12-11,194.66
4556,2017-12-08,191.49
4555,2017-12-07,191.99
4554,2017-12-06,189.26
4553,2017-12-05,187.74
4552,2017-12-04,186.66
4551,2017-12-01,197.68
4550,2017-11-30,200.71
4549,2017-11-29,196.42
4548,2017-11-28,210.71
4547,2017-11-27,214.14
4546,2017-11-24,216.96
4545,2017-11-22,214.93
4544,2017-11-21,216.05
4543,2017-11-20,214.08
4542,2017-11-17,211.36
4541,2017-11-16,211.61
4540,2017-11-15,209.98
4539,2017-11-14,214.18
4538,2017-11-13,212.63
4537,2017-11-10,216.14
4536,2017-11-09,205.32
4535,2017-11-08,209.16
4534,2017-11-07,212.03
4533,2017-11-06,209.63
4532,2017-11-03,208.69
4531,2017-11-02,205.94
4530,2017-11-01,207.2
4529,2017-10-31,206.81
4528,2017-10-30,203.84
4527,2017-10-27,201.86
4526,2017-10-26,195.69
4525,2017-10-25,193.66
4524,2017-10-24,198.68
4523,2017-10-23,196.62
4522,2017-10-20,196.9
4521,2017-10-19,197.8
4520,2017-10-18,197.58
4519,2017-10-17,197.75
4518,2017-10-16,197.93
4517,2017-10-13,194.59
4516,2017-10-12,191.03
4515,2017-10-11,190.94
4514,2017-10-10,188.93
4513,2017-10-09,185.39
4512,2017-10-06,181.3
4511,2017-10-05,180.77
4510,2017-10-04,180.87
4509,2017-10-03,179.37
4508,2017-10-02,179.0
4507,2017-09-29,178.77
4506,2017-09-28,175.68
4505,2017-09-27,175.73
4504,2017-09-26,171.96
4503,2017-09-25,171.0
4502,2017-09-22,179.0
4501,2017-09-21,180.76
4500,2017-09-20,185.84
4499,2017-09-19,187.35
4498,2017-09-18,187.55
4497,2017-09-15,180.11
4496,2017-09-14,169.4
4495,2017-09-13,170.37
4494,2017-09-12,169.61
4493,2017-09-11,169.0
4492,2017-09-08,163.69
