,Date,Close
1564,2016-09-14,196.41
1563,2016-09-13,196.05
1562,2016-09-12,198.3
1561,2016-09-09,194.47
1560,2016-09-08,197.36
1559,2016-09-07,201.71
1558,2016-09-06,202.83
1557,2016-09-02,197.78
1556,2016-09-01,200.77
1555,2016-08-31,212.01
1554,2016-08-30,211.34
1553,2016-08-29,215.2
1552,2016-08-26,219.99
1551,2016-08-25,220.96
1550,2016-08-24,222.62
1549,2016-08-23,224.84
1548,2016-08-22,222.93
1547,2016-08-19,225.0
1546,2016-08-18,223.51
1545,2016-08-17,223.24
1544,2016-08-16,223.61
1543,2016-08-15,225.59
1542,2016-08-12,225.61
1541,2016-08-11,224.91
1540,2016-08-10,225.65
1539,2016-08-09,229.08
1538,2016-08-08,226.16
1537,2016-08-05,230.03
1536,2016-08-04,230.61
1535,2016-08-03,225.79
1534,2016-08-02,227.2
1533,2016-08-01,230.01
1532,2016-07-29,234.79
1531,2016-07-28,230.61
1530,2016-07-27,228.49
1529,2016-07-26,229.51
1528,2016-07-25,230.01
1527,2016-07-22,222.27
1526,2016-07-21,220.5
1525,2016-07-20,228.36
1524,2016-07-19,225.26
1523,2016-07-18,226.25
1522,2016-07-15,220.4
1521,2016-07-14,221.53
1520,2016-07-13,222.53
1519,2016-07-12,224.65
1518,2016-07-11,224.78
1517,2016-07-08,216.78
1516,2016-07-07,215.94
1515,2016-07-06,214.44
1514,2016-07-05,213.98
1513,2016-07-01,216.5
1512,2016-06-30,212.28
1511,2016-06-29,210.19
1510,2016-06-28,201.79
1509,2016-06-27,198.55
1508,2016-06-24,193.15
1507,2016-06-23,196.4
1506,2016-06-22,196.66
1505,2016-06-21,219.61
1504,2016-06-20,219.7
1503,2016-06-17,215.47
1502,2016-06-16,217.93
1501,2016-06-15,217.7
1500,2016-06-14,214.96
1499,2016-06-13,217.87
1498,2016-06-10,218.79
1497,2016-06-09,229.36
1496,2016-06-08,235.52
1495,2016-06-07,232.34
1494,2016-06-06,220.68
1493,2016-06-03,218.99
1492,2016-06-02,218.96
1491,2016-06-01,219.56
1490,2016-05-31,223.23
1489,2016-05-27,223.04
1488,2016-05-26,225.12
1487,2016-05-25,219.58
1486,2016-05-24,217.91
1485,2016-05-23,216.22
1484,2016-05-20,220.28
1483,2016-05-19,215.21
1482,2016-05-18,211.17
1481,2016-05-17,204.66
1480,2016-05-16,208.29
1479,2016-05-13,207.61
1478,2016-05-12,207.28
1477,2016-05-11,208.96
1476,2016-05-10,208.69
1475,2016-05-09,208.92
1474,2016-05-06,214.93
1473,2016-05-05,211.53
1472,2016-05-04,222.56
1471,2016-05-03,232.32
1470,2016-05-02,241.8
1469,2016-04-29,240.76
1468,2016-04-28,247.71
1467,2016-04-27,251.47
1466,2016-04-26,253.74
1465,2016-04-25,251.82
1464,2016-04-22,253.75
1463,2016-04-21,248.29
1462,2016-04-20,249.97
1461,2016-04-19,247.37
1460,2016-04-18,253.88
1459,2016-04-15,254.51
1458,2016-04-14,251.86
1457,2016-04-13,254.53
1456,2016-04-12,247.82
1455,2016-04-11,249.92
1454,2016-04-08,250.07
1453,2016-04-07,257.2
1452,2016-04-06,265.42
1451,2016-04-05,255.47
1450,2016-04-04,246.99
1449,2016-04-01,237.59
1448,2016-03-31,229.77
1447,2016-03-30,226.89
1446,2016-03-29,230.13
1445,2016-03-28,230.26
1444,2016-03-24,227.75
1443,2016-03-23,222.58
1442,2016-03-22,234.24
1441,2016-03-21,238.32
1440,2016-03-18,232.74
1439,2016-03-17,226.38
1438,2016-03-16,221.93
1437,2016-03-15,218.34
1436,2016-03-14,215.15
1435,2016-03-11,207.5
1434,2016-03-10,205.18
1433,2016-03-09,208.72
1432,2016-03-08,202.6
1431,2016-03-07,205.29
1430,2016-03-04,201.04
1429,2016-03-03,195.74
1428,2016-03-02,188.34
1427,2016-03-01,186.35
1426,2016-02-29,191.93
1425,2016-02-26,190.34
1424,2016-02-25,187.43
1423,2016-02-24,179.0
1422,2016-02-23,177.21
1421,2016-02-22,177.74
1420,2016-02-19,166.58
1419,2016-02-18,166.77
1418,2016-02-17,168.68
1417,2016-02-16,155.17
1416,2016-02-12,151.04
1415,2016-02-11,150.47
1414,2016-02-10,143.67
1413,2016-02-09,148.25
1412,2016-02-08,147.99
1411,2016-02-05,162.6
1410,2016-02-04,175.33
1409,2016-02-03,173.48
1408,2016-02-02,182.78
1407,2016-02-01,196.94
1406,2016-01-29,191.2
1405,2016-01-28,189.7
1404,2016-01-27,188.07
1403,2016-01-26,193.56
1402,2016-01-25,196.38
1401,2016-01-22,202.55
1400,2016-01-21,199.97
1399,2016-01-20,198.7
1398,2016-01-19,204.72
1397,2016-01-15,204.99
1396,2016-01-14,206.18
1395,2016-01-13,200.31
1394,2016-01-12,209.97
1393,2016-01-11,207.85
1392,2016-01-08,211.0
1391,2016-01-07,215.65
1390,2016-01-06,219.04
1389,2016-01-05,223.43
1388,2016-01-04,223.41
1387,2015-12-31,240.01
1386,2015-12-30,238.09
1385,2015-12-29,237.19
1384,2015-12-28,228.95
1383,2015-12-24,230.57
1382,2015-12-23,229.7
1381,2015-12-22,229.95
1380,2015-12-21,232.56
1379,2015-12-18,230.46
1378,2015-12-17,233.39
1377,2015-12-16,234.51
1376,2015-12-15,221.09
1375,2015-12-14,218.58
1374,2015-12-11,217.02
1373,2015-12-10,227.07
1372,2015-12-09,224.52
1371,2015-12-08,226.72
1370,2015-12-07,231.13
1369,2015-12-04,230.38
1368,2015-12-03,232.71
1367,2015-12-02,231.99
1366,2015-12-01,237.19
1365,2015-11-30,230.26
1364,2015-11-27,231.61
1363,2015-11-25,229.64
1362,2015-11-24,218.25
1361,2015-11-23,217.75
1360,2015-11-20,220.01
1359,2015-11-19,221.8
1358,2015-11-18,221.07
1357,2015-11-17,214.0
1356,2015-11-16,214.31
1355,2015-11-13,207.19
1354,2015-11-12,212.94
1353,2015-11-11,219.08
1352,2015-11-10,216.5
1351,2015-11-09,225.33
1350,2015-11-06,232.36
1349,2015-11-05,231.77
1348,2015-11-04,231.63
1347,2015-11-03,208.35
1346,2015-11-02,213.79
1345,2015-10-30,206.93
1344,2015-10-29,211.63
1343,2015-10-28,212.96
1342,2015-10-27,210.35
1341,2015-10-26,215.26
1340,2015-10-23,209.09
1339,2015-10-22,211.72
1338,2015-10-21,210.09
1337,2015-10-20,213.03
1336,2015-10-19,228.1
1335,2015-10-16,227.01
1334,2015-10-15,221.31
1333,2015-10-14,216.88
1332,2015-10-13,219.25
1331,2015-10-12,215.58
1330,2015-10-09,220.69
1329,2015-10-08,226.72
1328,2015-10-07,231.96
1327,2015-10-06,241.46
1326,2015-10-05,246.15
1325,2015-10-02,247.57
1324,2015-10-01,239.88
1323,2015-09-30,248.4
1322,2015-09-29,246.65
1321,2015-09-28,248.43
1320,2015-09-25,256.91
1319,2015-09-24,263.12
1318,2015-09-23,261.06
1317,2015-09-22,260.94
1316,2015-09-21,264.2
1315,2015-09-18,260.62
1314,2015-09-17,262.07
1313,2015-09-16,262.25
1312,2015-09-15,253.57
1311,2015-09-14,253.19
1310,2015-09-11,250.24
1309,2015-09-10,248.48
1308,2015-09-09,248.91
1307,2015-09-08,248.17
1306,2015-09-04,241.93
1305,2015-09-03,245.57
1304,2015-09-02,247.69
1303,2015-09-01,238.63
1302,2015-08-31,249.06
1301,2015-08-28,248.48
1300,2015-08-27,242.99
1299,2015-08-26,224.84
1298,2015-08-25,220.03
1297,2015-08-24,218.87
1296,2015-08-21,230.77
1295,2015-08-20,242.18
1294,2015-08-19,255.25
1293,2015-08-18,260.72
1292,2015-08-17,254.99
1291,2015-08-14,243.15
1290,2015-08-13,242.51
1289,2015-08-12,238.17
1288,2015-08-11,237.37
1287,2015-08-10,241.14
1286,2015-08-07,242.51
1285,2015-08-06,246.13
1284,2015-08-05,270.13
1283,2015-08-04,266.28
1282,2015-08-03,259.99
1281,2015-07-31,266.15
